name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Edge Type 1 SPC,uaf_edge_type_i,1,0,850,500,,45,20,3,30,6,,,,ENERGY,73,,0,2.2,6,0.185,1,11,-0.5,-0.5,,700,,,20,,"energy6, uaf_ai_ship_bp, uaf_weapon_bp",,United Aurora Federation,,Disruptive Cannon,,,,,"Suitable against %s and %s, Due to its negative recoil its accuracy increases the longer it fires. It deals %s damage while generating less flux if %s.",armored targets | exposed hull | increased |ship exceeds 50% of its flux capacity,,,,2
Edge Type 1 SPC (Overload),uaf_edge_type_i_overload,1,0,850,500,,80,55,3,30,6,,,,ENERGY,30,,0,2.2,6,0.185,1,11,-0.5,-0.5,,900,,,20,SYSTEM,,,United Aurora Federation,,Disruptive Cannon,,,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,2
Edge Type 2 MPC,uaf_edge_type_ii,1,0,2650,600,,85,25,50,20,12,,,,ENERGY,175,,0.2,0.4,,,2,13,-1,-1,,800,,,20,,"energy10, uaf_ai_ship_bp, uaf_weapon_bp",,United Aurora Federation,,Disruptive Cannon,,,,,"Suitable against %s and %s, Due to its negative recoil its accuracy increases the longer it fires. It deals %s damage while generating less flux if %s.",armored targets | exposed hull | increased | ship exceeds 50% of its flux capacity,,,,2
Edge Type 2 MPC (Overload),uaf_edge_type_ii_overload,1,0,2650,600,,170,100,50,20,12,,,,ENERGY,75,,0.2,0.4,,,2,13,-1,-1,,1100,,,20,SYSTEM,,,United Aurora Federation,,Disruptive Cannon,,,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,2
Edge Type 3 LPC,uaf_edge_type_iii,2,1,4565,800,,205,50,100,10,22,,,,ENERGY,330,,0.4,2,4,0.45,3,15,-2,-2,,800,,,20,,"energy19, uaf_automata_rare_bp, uaf_weapon_bp",,United Aurora Federation,,Disruptive Cannon,,,,,"Suitable against %s and %s, Due to its negative recoil its accuracy increases the longer it fires. It deals %s damage while generating less flux if %s.",armored targets | exposed hull | increased | ship exceeds 50% of its flux capacity,,,,2
Edge Type 3 LPC (Overload),uaf_edge_type_iii_overload,2,1,4565,800,,345,200,100,10,22,,,,ENERGY,120,,0.4,2,4,0.45,3,15,-2,-2,,1200,,,20,SYSTEM,,,United Aurora Federation,,Disruptive Cannon,,,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge Type 4 XPC,uaf_edge_type_iv,2,1,20520,900,,450,200,100,8,0,,,,ENERGY,525,,0.4,3.5,2,0.6,3,15,-2,-2,,1000,,,20,"SYSTEM, USE_VS_FRIGATES",energy25,,United Aurora Federation,,Super Disruptive Cannon,,,,,Suitable against %s and %s. Due to its negative recoil it gets more accurate the longer it fires. It deals %s damage and gains extra range while generating less flux if %s.,armored targets | exposed hull | increased | ship exceeds 50% of its flux capacity,,,,2
Edge Type 4 XPC (Overload),uaf_edge_type_iv_overload,2,1,20520,1000,,650,600,100,8,0,,,,ENERGY,325,,0.4,3.5,4,0.2,3,15,-2,-2,,1200,,,20,"SYSTEM, USE_VS_FRIGATES",energy25,,United Aurora Federation,,Super Disruptive Cannon,,,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axia Type 1 PSC,uaf_axia_type_i,2,0,1000,500,,190,20,35,24,9,,,,ENERGY,255,,1.5,5,1,,0,1,1,,,1100,,,100,,"energy7, no_drop, no_drop_salvage",,United Aurora Federation,,Positron Shock Cannon,,,,,"Hits on armor or hull deals EMP damage and will %s, dealing extra damage and spiking the target's hard flux by %s.",arc to weapons and engines | 50,,,,2
Axia Type 2 PSC,uaf_axia_type_ii,3,1,3500,600,,270,25,70,12,16,,,,ENERGY,345,,1.75,6,1,,0,1,1,,,1200,,,150,,"energy14, no_drop, no_drop_salvage",,United Aurora Federation,,Positron Shock Cannon,,,,,"Hits on armor or hull deals EMP damage and will %s, dealing extra damage and spiking the target's hard flux by %s.",arc to weapons and engines | 100,,,,2
Axia Type 3 PSC,uaf_axia_type_iii,3,2,7000,800,,480,40,125,4,24,,,,ENERGY,635,,2,7,1,,0,1,1,,,1300,,,200,,"energy21, no_drop, no_drop_salvage",,United Aurora Federation,,Positron Shock Cannon,,,,,"Hits on armor or hull deals EMP damage and will %s, dealing extra damage and spiking the target's hard flux by %s.",arc to weapons and engines | 200,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Novaeria Main Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garuda 808 XLC,uaf_garuda_808_xlc,6,0,300000,1100,,1200,600,150,1,0,,,,ENERGY,1000,,4,10,1,,0,1,1,,,1400,,,500,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,Shock Cannon,,,,,"Hits on armor or hull deals EMP damage and will %s, dealing extra damage and spiking the target's hard flux by %s.",arc to weapons and engines | 500,,,,2
Garuda 808 XLC (built-in),uaf_garuda_808_xlc_bi,6,0,300000,1100,,1500,600,150,1,0,,,,ENERGY,1000,,4,8,1,,0,1,1,,,1400,,,500,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,Shock Cannon,,,,,"Hits on armor or hull deals EMP damage and will %s, dealing extra damage and spiking the target's hard flux by %s.",arc to weapons and engines | 500,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merupaka I/20 EPD,uaf_merupaka_epd,1,1,500,450,,18,5,7,55,6,,,,ENERGY,10,,0,0.4,6,0.05,1,7,1,0.5,,900,,,10,PD,"pd7, energy7, SR, uaf_automata_weapon_bp, uaf_ai_ship_bp",,United Aurora Federation,,Point Defense Autocannon,,,,,General purpose. Deals additional 50 fragmentation damage against missiles and strikecraft.,50 fragmentation | missiles | strikecraft,,,,0.5
Merupaka II/50 EPD,uaf_merupaka_ii_epd,1,1,2000,650,,32,5,12,55,12,,,,ENERGY,20,,0,0.8,8,0.05,1,6,0.8,0.5,,950,,,20,PD,"pd10, energy10, SR, uaf_automata_weapon_bp, uaf_ai_ship_bp",,United Aurora Federation,,Heavy Defense Autocannon,,,,,General purpose. Deals additional 50 fragmentation damage against missiles and strikecraft.,50 fragmentation | missiles | strikecraft,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanshee I/609 SXC,uaf_kanshee_sxc,2,2,4550,800,,700,,100,4,22,,,,ENERGY,675,,0.6,4.5,1,0,0,3,1,2,,1000,,,400,,"energy20, LR, uaf_automata_rare_bp, uaf_weapon_bp",,United Aurora Federation,,Multi Purpose Cannon (HE),,,,,"Has long range and good accuracy, at cost of slow rate of fire. Fires in bursts of four rounds, suitable against %s and %s. %s chance to additional %s damage directly to hull if armor is destroyed.",armored targets | exposed hull | 30% | 150 high explosive,,,,6
Kanshee II/609 SXC,uaf_kanshee_ii_sxc,2,2,6550,800,,700,,100,4,24,,,,ENERGY,675,,0.6,6.5,1,0,0,3,1,2,,1000,,,400,,"energy22, LR, uaf_automata_rare_bp, uaf_weapon_bp",,United Aurora Federation,,Multi Purpose Cannon (HE),,,,,"Has long range and good accuracy, at cost of slow rate of fire. Fires in bursts of four rounds, suitable against %s and %s. %s chance to additional %s damage directly to hull if armor is destroyed.",armored targets | exposed hull | 30% | 150 high explosive,,,,6
Cyrexa II 452 SXC,uaf_cyrexa_ii_sxc,3,2,6420,800,,370,,100,4,23,,,,ENERGY,575,,0.6,2.2,4,0.2,0,8,2,2.5,,1000,,,400,,"energy20, LR, uaf_automata_rare_bp, uaf_weapon_bp",,United Aurora Federation,,Multi Purpose Cannon (AP),,,,,"Has long range, good accuracy and a decent rate of fire. Suitable for suppressing %s. %s chance to deal additional %s kinetic damage against shields.",shielded targets | 50% | 300,,,,6
Cyrexa II/D 608 SXC,uaf_cyrexa_ii_d_sxc,3,2,8860,800,,750,,100,4,24,,,,ENERGY,700,,0.6,3.2,2,0.15,0,8,2,2.5,,1000,,,400,,"energy22, LR, uaf_automata_rare_bp, uaf_weapon_bp",,United Aurora Federation,,Multi Purpose Cannon (AP),,,,,"Has long range, good accuracy and a decent rate of fire. Suitable for suppressing %s. %s chance to deal additional %s kinetic damage against shields.",shielded targets | 50% | 300,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weiss I Micro Flak,uaf_weiss_flk,0,0,800,400,,50,,2,65,6,,,,FRAGMENTATION,20,,0,0.23,,,2,20,2,20,,550,,,20,PD,"pd3, uaf_weapon_bp, uaf_standard_rare_bp",,United Aurora Federation,,Point Defense (Suppression),,,,,"Flak cannon that causes multiple micro explosions around the first detonation point, dealing minor %s damage. More effective when used against %s than ships and in %s.",fragmentation | missiles | concentrated defensive fire,,,,2
Weiss II Burst Flak,uaf_weiss_ii_flk,0,0,1550,600,,200,,10,35,12,,,,FRAGMENTATION,60,,0,0.6,2,0.25,0,15,1.5,5,,650,,,20,PD,"pd9, uaf_weapon_bp, uaf_standard_rare_bp",,United Aurora Federation,,Point Defense (Area),,,,,"Flak cannon that causes few micro explosions around the first detonation point, dealing minor %s damage. More effective when used against %s than ships and in %s.",fragmentation | missiles | concentrated defensive fire,,,,2
Weiss III Cluster Flak,uaf_weiss_iii_flk,2,1,5800,750,,250,,150,20,20,,,,FRAGMENTATION,130,,0,1,1,,0,15,3,2.5,,800,,,20,PD,"pd16, uaf_weapon_bp, uaf_standard_rare_bp",,United Aurora Federation,,Point Defense (Directional),,,,,"Flak cannon that fires a shell which is filled with cluster munitions with timed fuse, releasing them in a wide cone in front of it. Resulting area suppression deals fragmentation and high explosive damage. Effective at medium to long range against missiles and spacecraft.",wide area | fragmentation | high explosive| medium to long | missiles and spacecraft,,,,2
Weiss Split 600,uaf_weiss_iii_flk_split0,0,,200,600,,120,,150,0,0,,,,ENERGY,,,,,1,,0,5,1,,,800,,,20,"PD, SYSTEM",pd1,,United Aurora Federation,,Dual-barrel Flak Gun,,,,,,,,,,2
Weiss Split 500,uaf_weiss_iii_flk_split1,0,,300,500,,105,,150,0,0,,,,ENERGY,,,,,1,,0,5,1,,,800,,,20,"PD, SYSTEM",pd1,,United Aurora Federation,,Dual-barrel Flak Gun,,,,,,,,,,2
Weiss Split 400,uaf_weiss_iii_flk_split2,0,,300,400,,125,,150,0,0,,,,FRAGMENTATION,,,,,1,,0,7,3,,,800,,,20,"PD, SYSTEM",pd1,,United Aurora Federation,,Dual-barrel Flak Gun,,,,,,,,,,2
Weiss Split 300,uaf_weiss_iii_flk_split3,0,,300,300,,125,,150,0,0,,,,FRAGMENTATION,,,,,1,,0,7,3,,,800,,,20,"PD, SYSTEM",pd1,,United Aurora Federation,,Dual-barrel Flak Gun,,,,,,,,,,2
Weiss Split 200,uaf_weiss_iii_flk_split4,0,,300,200,,125,,150,0,0,,,,FRAGMENTATION,,,,,1,,0,15,3,,,800,,,20,"PD, SYSTEM",pd1,,United Aurora Federation,,Dual-barrel Flak Gun,,,,,,,,,,2
Weiss Split 100,uaf_weiss_iii_flk_split5,0,,300,100,,125,,150,0,0,,,,FRAGMENTATION,,,,,1,,0,15,3,,,800,,,20,"PD, SYSTEM",pd1,,United Aurora Federation,,Dual-barrel Flak Gun,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenex 818 R-Railgun,uaf_phenex_lrg,6,6,300000,1200,,1200,600,400,2,0,,,,KINETIC,1350,,0.6,15,3,0.2,3,12,2.5,4,,1350,,,700,"SYSTEM, SHOW_IN_CODEX, STRIKE, USE_VS_FRIGATES","kinetic20, LR, no_drop, no_bp_drop, no_drop_salvage, restricted, no_dealer",,United Aurora Federation,,Supercapital Railgun,,,,,"Solvernia's 608mm devastating, unstoppable projectile will penetrate through everything regardless of its size and mass. It can also switch to nuclear rounds on demand for anti-everything purposes.",penetrate | everything | nuclear rounds,,,,6
Phenex 818 R-Railgun (Overload),uaf_phenex_lrg_overload,6,6,300000,1200,,1200,1200,400,2,0,,,,KINETIC,1350,,0.6,15,3,0.2,3,12,2.5,4,,1350,,,700,SYSTEM,,,United Aurora Federation,,Supercapital Railgun,,,,,"Solvernia's 608mm devastating, unstoppable projectile will penetrate through everything regardless of its size and mass. It can also switch to nuclear rounds on demand for anti-everything purposes.",penetrate | everything | nuclear rounds,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion's Roar Launcher (L),uaf_lion_roar,1,,200,3000,,4000,2000,1000,35,2,6,0.010,2,HIGH_EXPLOSIVE,0,,0,30,1,,0,0,0,0,,800,800,5,2000,SYSTEM,"strike8, rocket",STRIKE,United Aurora Federation,,Delayed Fuse Bouncing Bomb (WMD),,Torpedo,Fast,None,"An experimental low-yield nuclear warhead mounted on the tip of an armored bomb. It's delayed fuse will ensure enough time to potentially bounce into enemy formation to detonate from within, ensuring maximum chaos.",delayed fuse | bounce | detonate from within,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrexa 452 Rapid,uaf_cyrexa,3,2,6420,900,,350,,100,3,20,,,,KINETIC,385,,0.5,2,4,0.25,0,8,2,2.5,,900,,,400,,"kinetic19, LR, uaf_weapon_bp, uaf_military_rare_bp",,United Aurora Federation,,Anti Capital (Shield),,,,,Rapid fire but at cost of wide weapon recoil and spread. Suitable against shielded targets.,shielded targets,,,,6
Cyrexa 452 Support,uaf_cyrexa_triple,2,1,4210,1000,,450,,100,3,18,,,,KINETIC,405,,0.6,3.4,3,0.35,0,5,1,1,,1000,,,400,,"kinetic20, LR, uaf_weapon_bp, uaf_standard_rare_bp",,United Aurora Federation,,Anti Capital (Shield),,,,,"Has long range and good accuracy, at cost of slow rate of fire. Suitable against shielded targets.",shielded targets,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herexa 609 Rapid,uaf_herexa_triple,3,2,6420,900,,450,,100,3,20,,,,HIGH_EXPLOSIVE,470,,0.6,2.5,3,0.3,0,8,2,2.5,,1000,,,400,,"he20, LR, uaf_weapon_bp, uaf_military_rare_bp",,United Aurora Federation,,Anti Capital (Armor),,,,,Rapid fire but at cost of wide weapon recoil and spread. Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,6
Herexa 609 Support,uaf_herexa,2,1,5550,1000,,550,,100,3,18,,,,HIGH_EXPLOSIVE,500,,0.6,3.5,2,0.4,0,5,1,2,,900,,,400,,"he19, LR, uaf_weapon_bp, uaf_standard_rare_bp",,United Aurora Federation,,Anti Capital (Armor),,,,,"Has long range and good accuracy, at cost of slow rate of fire. Suitable against armored targets and exposed hull.",armored targets | exposed hull,,,,6
Herexa 609 Autoloader,uaf_herexa_autoloader,2,1,5550,1000,,500,,100,3,0,12,0.25,6,HIGH_EXPLOSIVE,300,,0.6,0.7,1,0,0,5,1,2,,900,,,400,,"no_drop, no_drop_salvage, no_dealer, restricted",,United Aurora Federation,,Anti Capital (Armor),,,,,"Has long range and good accuracy, at cost of slow rate of fire. Suitable against armored targets and exposed hull.",armored targets | exposed hull,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimata I/155 Auxillary,uaf_shimata_155_cn,0,0,1450,600,,200,,30,15,8,20,1,9,HIGH_EXPLOSIVE,180,,0,2,3,0.15,0,13,4,8,,575,,,150,,"he8, SR, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Anti Armor Howitzer,,,,,"Secondary anti-ship howitzer, it has slow projectile speed but its effective against armored targets and exposed hull.",armored targets | exposed hull,,,,
Shimata II/300 Auxillary,uaf_shimata_300_cn,2,1,3450,800,,400,,30,6,18,20,0.867,9,HIGH_EXPLOSIVE,370,,0,2.5,3,0.1,0,13,4,8,,625,,,150,,"he10, SR, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Anti Armor Howitzer,,,,,"Secondary anti-ship howitzer, it has slow projectile speed but its effective against armored targets and exposed hull.",armored targets | exposed hull,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hikone I/125 Auxillary,uaf_hikone_quad,0,0,1600,600,,75,,15,20,8,24,1.45,6,KINETIC,60,,0,0.35,2,0.2,0,13,1,8,,600,,,300,,"kinetic9, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Suppression Autocannon,,,,,Deals %s more damage against %s and %s. Deals %s less damage against %s and %s.,+10% | Frigates | Destroyers | -10% | Cruisers | Capitals,,,,1
Hikone II/203 Auxillary,uaf_hikone_ii_quad,2,1,3600,800,,110,,15,6,18,30,1.65,6,KINETIC,100,,0,0.4,2,0.22,0,13,1,8,,675,,,300,USE_VS_FRIGATES,"kinetic12, uaf_weapon_bp, uaf_standard_rare_bp",,United Aurora Federation,,Suppression Autocannon,,,,,Deals %s more damage against %s and %s. Deals %s less damage against %s and %s.,+20% | Frigates | Destroyers | -20% | Cruisers | Capitals,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enyria 30 CIWS,uaf_enyria_pdx,2,1,6655,600,,8,30,20,130,12,225,18,50,ENERGY,3.25,,0.45,2.75,150,0.01,0.5,8,0.2,3,,800,,,50,"ANTI_FTR, PD","utility10, pd10, uaf_weapon_bp, uaf_ai_ship_bp",,United Aurora Federation,,Point Defense (Suppression),,,,,"Has rapid rate of fire, suitable against %s and %s. In addition, hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",strikecraft | missiles | 20%,%s: Launches %s Chorus missiles for every %s. The sub missiles will not launch when the ship is on hold fire.,Sub Missiles | two | 8 seconds,,4.5
Triyia 30 CIWS,uaf_triyia_pdx,2,1,6655,600,,12,3,20,130,12,225,18,50,FRAGMENTATION,2.25,,0.45,2.75,150,0.01,0.5,7,0.2,3,,800,,,50,"ANTI_FTR, PD","utility10, pd10, uaf_weapon_bp, uaf_m_ship_bp",,United Aurora Federation,,Point Defense (Suppression),,,,,"Has rapid rate of fire, suitable against %s and %s.",strikecraft | missiles,%s: Launches %s Chorus missiles for every %s. The sub missiles will not launch when the ship is on hold fire.,Sub Missiles | two | 8 seconds,,4.5
Penulisa 50 AS/R,uaf_penulisa_acx,2,2,6655,700,,45,,20,100,20,500,8,80,HIGH_EXPLOSIVE,30,,0.09,,,,0,10,0.2,1,,900,,,50,"STRIKE, PD","he19, uaf_weapon_bp, uaf_military_rare_bp",,United Aurora Federation,,Anti Armor (Suppression),,,,,"Rapid firing rotary anti-ship cannon, perfect against %s. Deals additional %s damage when hitting exposed hull.",armored ships | 20 fragmentation,,,,4.5
Precisia 304 (built-in),uaf_precisia_dual,6,6,2500,825,,100,50,30,20,,,,,ENERGY,100,,0,2,4,0.1,0,1,1,,,1200,,,300,SYSTEM,"kinetic10, LR, no_drop, no_bp_drop, no_drop_salvage, restricted, no_dealer",,United Aurora Federation,,General Purpose,,,,,"Burst-firing. General purpose, but with slow rate of fire.",ships,,,,1
Ivory 254/SG (built-in),uaf_ivory_shotgun,6,6,2500,600,,95,50,30,20,,16,1,4,HIGH_EXPLOSIVE,60,,0,3,2,0.1,20,30,5,,,1200,,,300,SYSTEM,"frag10, LR, no_drop, no_bp_drop, no_drop_salvage, restricted, no_dealer",,United Aurora Federation,,General Purpose,,,,,"Burst-firing. General purpose, but with slow rate of fire.",ships,,,,1
Rotan 452 (built-in),uaf_rotan_452_cn,2,1,4210,900,,680,,100,3,18,,,,FRAGMENTATION,305,,0.2,2,,,,12,5,3,,800,,,400,,"strike10, LR, no_drop, no_bp_drop, no_drop_salvage, restricted, no_dealer",,United Aurora Federation,,Artillery Cannon,,,,,Low flux and long range.,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrexa Single Experimental,uaf_cyrexa_single,4,4,14210,900,,450,,300,5,25,15,,1,KINETIC,150,,0.1,2.75,1,0,0,0,1,,,1200,,,400,"SYSTEM, STRIKE, CONSERVE_FOR_ANTI_ARMOR, CONSERVE_3","kinetic20, LR, no_drop, no_drop_salvage, restricted",,United Aurora Federation,,General Purpose,,,,,,,,,,6
