id,type,text1,text2,text3,text4,text5,notes
uaf_typhoon_s_sasm,WEAPON,"Large unguided torpedo armed with a fragmentation flechette warhead. While it's immensely powerful as a tool to finish off slow or immobilized ships with exposed hulls thanks to its deadly fragmentation payload, it struggles against armor and shields.",Finisher,,,,
uaf_minibreve_tnt_s,WEAPON,"Experimental, small ""anti-everything"" cruise missile, based on the infamous Semibreve. It quickly gained popularity among ship captains that favor much more destructive nuclear weaponry over conventional anti-ship torpedoes. Its excellent guidance together with the fact that it can be installed on any ship only speak further in its favor.",Nuclear Finisher,,,,
uaf_minibreve_tnt_m,WEAPON,"Experimental, small ""anti-everything"" cruise missile, based on the infamous Semibreve. It quickly gained popularity among ship captains that favor much more destructive nuclear weaponry over conventional anti-ship torpedoes. Its excellent guidance together with the fact that it can be installed on any ship only speak further in its favor. This one comes in a pod capable of forging new missiles.",Nuclear Finisher,,,,
uaf_semibreve_base,WEAPON,"The dreaded “last-resort” weapon of the Auroran forces. Despite its destructive power resembling nuclear warheads of ancient civilizations, this WMD utilizes a warhead composed of matter called Shinonian Particles. These particles are extremely unstable, and are constantly attempting to rip apart reality around it. The result is that there is little need to make a proper primer for the warhead. Instead, the contact trigger actuates a hammer that cracks the containment field, letting the highly compressed particles release the torrent of energy contained within. Supposedly composed of negative emotion compressed to the point of physical manifestation, the dire straits of the expeditionary fleet and the vitriol directed towards them by sector natives ensures that raw material for more warheads is never in short supply.",Area of Effect Suppression,,,,
uaf_semibreve_guided,WEAPON,"The dreaded “last-resort” weapon of the Auroran forces, with extra spice as it is now guided. Despite its destructive power resembling nuclear warheads of ancient civilizations, this WMD utilizes a warhead composed of matter called Shinonian Particles. These particles are extremely unstable, and are constantly attempting to rip apart reality around it. The result is that there is little need to make a proper primer for the warhead. Instead, the contact trigger actuates a hammer that cracks the containment field, letting the highly compressed particles release the torrent of energy contained within. Supposedly composed of negative emotion compressed to the point of physical manifestation, the dire straits of the expeditionary fleet and the vitriol directed towards them by sector natives ensures that raw material for more warheads is never in short supply.",Area of Effect Suppression,,,,
,,,,,,,
uaf_rhythm_base_triple,WEAPON,Missile system firing guided high explosive missiles in volleys of three. The missile's role are to saturate and overcome enemy defenses with pure numbers.,Saturation,,,,
uaf_rhythm_l_lrm,WEAPON,Missile system firing guided high explosive missiles in volleys up to twelve. The missile's role are to saturate and overcome enemy defenses with pure numbers.,Saturation,,,,
uaf_exoscar_torpedo_base,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system.",Finisher,,,,
uaf_exoscar_torpedo_base_shield,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system and miniaturized shield to protect the payload from enemy point defense.",Finisher,,,,
uaf_exoscar_torpedo_med,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system. This one comes in pod capable of reloading new missiles.",Finisher,,,,
uaf_exoscar_torpedo_large,WEAPON,"Standard anti-ship torpedo, deadly against ships and stations. It also comes with a capable tracking system. This one comes in a rack capable of reloading new missiles and fires in salvo of four missiles.",Finisher,,,,
uaf_selemene_l_mrm,WEAPON,"Disruptive anti-ship missile, equipped with excellent avionics and disruptive explosive filler to encircle the enemy and disable their engines. This one is capable of launching up to five missiles in salvo.",Strike,,,,
uaf_selemene_m_mrm,WEAPON,"Disruptive anti-ship missile, equipped with excellent avionics and disruptive explosive filler to encircle the enemy and disable their engines. This one is installed on a self-reloading pod.",Strike,,,,
uaf_selemene_s_mrm,WEAPON,"Disruptive anti-ship missile, equipped with excellent avionics and disruptive explosive filler to encircle the enemy and disable their engines.",Strike,,,,
,,,,,,,
uaf_amazoch_light_asrm_dual,WEAPON,Lightweight unguided cluster torpedo. It rapidly accelerates forward and delivers a powerful blow to enemy shields.,Cluster Missile (Strike),,,,
uaf_amazoch_s_asrm_single,WEAPON,Lightweight unguided cluster torpedo with slightly heavier payload. It rapidly accelerates forward and delivers a powerful blow to enemy shields.,Cluster Missile (Strike),,,,
uaf_amazoch_l_rack,WEAPON,Lightweight unguided cluster torpedo with slightly heavier payload. It rapidly accelerates forward and delivers a powerful blow to enemy shields.,Cluster Missile (Strike),,,,
,,,,,,,
uaf_clarinet_mirv,WEAPON,Experimental torpedo armed with high explosive warheads. It will continue to accelerate towards the target until it reaches the optimal distance before dispersing into multiple guided cluster munitions.,Cluster Missile (Strike),,,,
uaf_clarinet_mirv_small,WEAPON,Experimental torpedo armed with high explosive warheads. It will continue to accelerate towards the target until it reaches the optimal distance before dispersing into multiple guided cluster munitions.,Cluster Missile (Strike),,,,
uaf_clarinet_mirv_medium,WEAPON,Experimental torpedo armed with high explosive warheads. It will continue to accelerate towards the target until it reaches the optimal distance before dispersing into multiple guided cluster munitions.,Cluster Missile (Strike),,,,
uaf_clarinet_mirv_large,WEAPON,Experimental torpedo armed with high explosive warheads. It will continue to accelerate towards the target until it reaches the optimal distance before dispersing into multiple guided cluster munitions.,Cluster Missile (Strike),,,,
,,,,,,,
uaf_oboe_mirv_small,WEAPON,Experimental torpedo armed with kinetic warheads. It will continue to accelerate towards the target until it reaches the optimal distance before dispersing into multiple unguided cluster munitions.,Cluster Missile (Strike),,,,
uaf_oboe_mirv_medium,WEAPON,Experimental torpedo armed with kinetic warheads. It will continue to accelerate towards the target until it reaches the optimal distance before dispersing into multiple unguided cluster munitions.,Cluster Missile (Strike),,,,
uaf_oboe_mirv_large,WEAPON,Experimental torpedo armed with kinetic warheads. It will continue to accelerate towards the target until it reaches the optimal distance before dispersing into multiple unguided cluster munitions.,Cluster Missile (Strike),,,,
,,,,,,,
,,,,,,,
uaf_swaras_m_mlrs,WEAPON,"Multi-launch rocket system designed for shield suppression. It fires a stream of unguided, shield breaking rockets fitted with small explosive filler that allows them to deal acceptable damage against armor should the shields fall. ",Strike,,,,
uaf_swaras_l_mlrs,WEAPON,"Multi-launch rocket system designed for shield suppression. It fires a stream of unguided, shield breaking rockets fitted with small explosive filler that allows them to deal acceptable damage against armor should the shields fall. This one is simply an enlarged version with a greater number of missiles.",Strike,,,,
,,,,,,,
uaf_flair_pod,WEAPON,"Pod loaded with flares and chaffs designed to distract enemy fighters and missiles, giving the captain of the ship more time to react to incoming threats.",Final Point Defense,,,,
uaf_racun_pod,WEAPON,"Point defense weapon armed with multiple micro-missiles designed as a last line of defense against enemy fighters and missiles. It was accepted into service after the navy noticed how effective it was at protecting the ground forces' armored vehicles against incoming missile attacks.As effective as it is, it requires a brief moment to recalibrate itself after every shot, and as such it should not be used as a main point defense weapon.",Final Point Defense,,,,
,,,,,,,
uaf_chorus_l_amm,WEAPON,"Standard anti-air missile system, capable of effectively intercepting incoming threats and annihilating strikecraft thanks to its advanced avionics and excellent tracking capabilities.",Point Defense,,,,
uaf_chorus_m_amm,WEAPON,"Standard anti-air missile system, capable of effectively intercepting incoming threats and annihilating strikecraft thanks to its advanced avionics and excellent tracking capabilities.",Point Defense,,,,
uaf_chorus_s_amm,WEAPON,"Standard anti-air missile system, capable of effectively intercepting incoming threats and annihilating strikecraft thanks to its advanced avionics and excellent tracking capabilities.",Point Defense,,,,
uaf_meitou_chorus_nt,WEAPON,"Experimental nuclear anti-air missile system, capable of effectively intercepting incoming threats and annihilating strikecraft thanks to its advanced avionics and excellent tracking capabilities. It's also armed with a small tactical nuclear warhead to deal with grouped missiles and fighters.",Area Defense,,,,
,,,,,,,
uaf_missile_barrage,WEAPON,'Sakura' is a multi launch missile system that launches long range guided micro missiles. Relying on mass saturation attack to overwhelm enemy missile defense.,Saturation Missile,,,,
uaf_sakura_barrage,WEAPON,'Sakura' is a multi launch missile system that launches long range guided micro missiles. Relying on mass saturation attack to overwhelm enemy missile defense. This variant was formed into a group of vertical launch tubes on Solvernia with higher amount of missiles.,Saturation Missile,,,,
uaf_missile_barrage_catapult,WEAPON,'Sakura' is a multi launch missile system that launches long range guided micro missiles. Relying on mass saturation attack to overwhelm enemy missile defense. The catapult pod is a limited production version that allows installation on ships that can support such a massive weapon.,Saturation Missile,,,,
,,,,,,,
uaf_minirest_asm_l,WEAPON,"An experimental two-staged anti-ship cruise missile, it will try to flank the enemy from the side during the first stage and then separate its high explosive warhead that will rapidly accelerate towards the target.",Strike,,,,
,,,,,,,
uaf_fw_30mm_class_i,WEAPON,"Standard rotary rapid-fire autocannon, equipped with high explosive incendiary rounds that are popular among auroran fighters.",Fighter Weaponry,,,,
uaf_fw_30mm_class_ii,WEAPON,"Standard rotary rapid-fire autocannon, equipped with high explosive disruptive rounds to stun and then neutralize the enemy.",Fighter Weaponry,,,,
uaf_fw_30mm_class_iii,WEAPON,"Miniaturized version of the Triyia CIWS, excels in providing anti-air support and suppressing enemy fighters.",Fighter Weaponry,,,,
uaf_fw_40mm_class_i,WEAPON,"Standard rotary rapid-fire autocannon, upscaled to higher caliber. Proven to be very effective against all kinds of targets.",Fighter Weaponry,,,,
,,,,,,,
uaf_fw_edge_type_i,WEAPON,Rotary rapid-fire weapon loaded with a mix of experimental energy-infused rounds and conventional high explosive incendiary ammunition.,Fighter Weaponry,,,,
uaf_fw_merupaka_epd,WEAPON,"An upgrade to the rotary rapid-firing EMG autocannon, featuring higher caliber and newly introduced energy rounds, during its so far short service time it already proven itself to be very effective against all kinds of targets.",Fighter Weaponry,,,,
,,,,,,,
uaf_fw_56mm_class_i,WEAPON,Low caliber railgun loaded with kinetic rounds based on the shipborne 'Tona' for strikecraft uses.,Fighter Weaponry,,,,
uaf_fw_56mm_class_ii,WEAPON,Low caliber railgun loaded with kinetic rounds based on the shipborne 'Tona' for strikecraft uses.,Fighter Weaponry,,,,
uaf_fw_57mm_class_iii,WEAPON,"Medium caliber standard turret armed with kinetic rounds, capable of rapid firing.",Fighter Weaponry,,,,
,,,,,,,
uaf_fw_penulisa_class_i,WEAPON,"A legacy variant of the infamous shipborne 'Penulisa' dual chaingun, it fires 40mm high explosive rounds instead of 50mm in order to save up space.",Fighter Weaponry,,,,
uaf_fw_125mm_class_i,WEAPON,"The defensive turret armed with proximity fused flak shells, capable of firing at rapid pace. It recently entered service on board the air defense gunship and the super heavy bomber.",Fighter Weaponry,,,,
,,,,,,,
uaf_fw_155mm_class_i,WEAPON,Heavy caliber autocannon loaded with high explosive rounds typically found on dedicated strikecraft.,Fighter Weaponry,,,,
uaf_fw_155mm_class_ii,WEAPON,Heavy caliber autocannon loaded with high explosive rounds typically found on dedicated strikecraft.,Fighter Weaponry,,,,
uaf_fw_155mm_class_iii,WEAPON,Triple barreled heavy caliber autocannon turret loaded with high explosive rounds dedicated for the assault gunship. Its a miniaturized version of the shipborne 'Ivory Rapid' weapon system.,Fighter Weaponry,,,,
,,,,,,,
uaf_yokata_155_cn,WEAPON,The Yokata howitzer originated from land-based howitzer designs before being adapted into ground defense role. Its effectiveness in that role and emergency wartime measures resulted in its improvisation as naval gun later on.,Anti-Armor,,,,
,,,,,,,
uaf_fw_hvar_class_i,WEAPON,"The 'High Velocity Anti-Ship Rocket' is a large unguided high explosive rocket typically used on a multirole spacecraft. Allowing the user to create a small opening through the armor to deal greater damage, typically in coordination with friendly wings.",Fighter Weaponry,,,,
uaf_fw_hvar_class_ir,WEAPON,The 'High Velocity Anti-Ship Rocket' is a unguided high explosive rocket typically used on a multirole spacecraft. This is a much lighter fragmentation sub-variant launch from a rocket cylinder pod with the purpose of overwhelming enemy air defenses with a saturation attack.,Fighter Weaponry,,,,
uaf_fw_hvar_class_iap,WEAPON,The 'High Velocity Anti-Ship Rocket' is a unguided high explosive rocket typically used on a multirole spacecraft. This is a much lighter kinetic piercing sub-variant launch from a rocket cylinder pod with the purpose of overwhelming enemy air defenses with a saturation attack.,Fighter Weaponry,,,,
uaf_fw_hvar_class_ii,WEAPON,"The 'High Velocity Anti-Ship Rocket' is a large unguided high explosive rocket typically used on a multirole spacecraft. Allowing the user to create a small opening through the armor to deal greater damage, typically in coordination with friendly wings.",Fighter Weaponry,,,,
uaf_hvar_class_nk,WEAPON,"The 'High Velocity Anti-Ship Rocket' is a high capacity rocket pod that cold launches a salvo of unguided rockets. Once fully discharged, It will retract into the ship and reload fully by swapping with a new pod. The rocket may also re-align and propel itself towards the enemy based on the data provided by data-link from the ship.",Anti-Ship,,,,
uaf_fw_vasm_class_i,WEAPON,The 'Vocal Aerial Standard Missile' is a guided micro missile based on the shipborne version. Much of its high explosive payload was sacrificed to make room for the high performance thrusters and advanced guidance system.,Fighter Weaponry,,,,
,,,,,,,
uaf_fw_amssm_class_i,WEAPON,The 'Advanced Multi-purpose Space-to-Space Missile' is a variant of ship-based Chorus missile system for strikecraft uses. Capable of intercepting incoming threats and neutralizing enemy strikecraft. It relies on its proximity fuse to know when to detonate and deal fragmentation damage.,Anti-Air,,,,
uaf_fw_amssm_class_ii,WEAPON,The 'Advanced Multi-purpose Space-to-Space Missile' is a variant of ship-based Chorus missile system for strikecraft uses. Capable of intercepting incoming threats and neutralizing enemy strikecraft. It relies on its proximity fuse to know when to detonate and deal fragmentation damage.,Anti-Air,,,,
uaf_fw_amssm_class_iii,WEAPON,The 'Advanced Multi-purpose Space-to-Space Missile' is a variant of ship-based Chorus missile system for strikecraft uses. Capable of intercepting incoming threats and neutralizing enemy strikecraft. It relies on its proximity fuse to know when to detonate and deal fragmentation damage.,Anti-Air,,,,
uaf_fw_amssmx_class_iv,WEAPON,"The 'Advanced Multi-purpose Space-to-Space Missile Experimental' is a sub-variant of ship-based Chorus missile system for strikecraft uses. Relying on proximity fuse to know when to detonate it's low yield tactical nuclear warhead, making ideal against swarms of enemy fighters or to harass enemy ships.",Anti-Air,,,,
uaf_fw_amssmx_class_v,WEAPON,"The 'Advanced Multi-purpose Space-to-Space Missile Experimental' is a sub-variant of ship-based Chorus missile system for strikecraft uses. Relying on proximity fuse to know when to detonate it's low yield tactical nuclear warhead, making ideal against swarms of enemy fighters or to harass enemy ships.",Anti-Air,,,,
,,,,,,,
uaf_fw_exoscar_class_i,WEAPON,"Exoscar is the Federation's standard issue anti-ship missile commonly used by strikecraft and on board ships. Although reasonably guided for a torpedo class, it doesn't maneuver well due to the heavy weight displacement by the on-board guidance system and the high explosive warhead.",Fighter Weaponry,,,,
uaf_fw_exoscar_class_ii,WEAPON,"Exoscar is the Federation's standard issue anti-ship missile commonly used by strikecraft and on board ships. Although reasonably guided for a torpedo class, it doesn't maneuver well due to the heavy weight displacement by both the on-board guidance system and the enhanced high explosive warhead.",Fighter Weaponry,,,,
uaf_fw_exoscar_class_ix,WEAPON,"Exoscar is the Federation's standard issue anti-ship missile commonly used by strikecraft and on board ships. Although reasonably guided for a torpedo class, it doesn't maneuver well due to the heavy weight displacement by both the on-board guidance system and the experimental energy infused explosive warhead.",Fighter Weaponry,,,,
