id,trigger,conditions,script,text,options,notes
uafkeycard_neverMindOptionSelected,DialogOptionSelected,$option == UAFKeycard_neverMind,FireAll PopulateOptions,"""Well, too bad then.""",,
#END UAF Fleet Greeting Lines,,,,,,
,,,,,,
#Revamped Yimie Quest - Tilted Dagger Part One,#LET'S GET THIS SHIT DONE ONCE AND FOR ALL,,,,,
UAFBarTiltedDaggerPartOneInitialize,AddBarEvents,"$market.id == uaf_lunamun_market
$global.UAFKeycardStoreUnlockedNarumi
$global.UAFLingeringEchoesMissionCompleted
!$player.UAFTiltedDaggerHasMetYimie
!$global.UAFTiltedDaggerPart1RouteAEnd
!$global.UAFTiltedDaggerPart1RouteBEnd
!$global.UAFTiltedDaggerPart1RouteCEnd
RepIsAtWorst $faction.id FAVORABLE","AddBarEvent UAFTiltedDaggerPartOne_BarEvent ""Attempt to communicate with the nervous pilot"" ""A disheveled pilot sits in the corner of the bar, her eyes darting around frantically as if looking for pursuers."" highlight",,,
UAFTiltedDaggerPartOneOptionStart,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_BarEvent,"BeginConversation uaf_yimie true true
$player.UAFTiltedDaggerHasMetYimie = true","As you approach the pilot, before you can even open your mouth, she grabs you and pulls you into the booth, and hugs you tightly. You are surprised at first, when you hear some Military Police officers walking past, questioning other patrons about a blonde woman. As they approach, you instinctively put your arms around her.

You take advantage of a passing group of off-duty crew, using them to mask your escape. A few enthusiastic ones jovially bump into you, and they engage you and your companion in spontaneous conversation. In a matter of minutes you blend in with the throng travelling with them to destinations unknown. The woman grips your hand tightly even after you leave the MPs and the crowd far behind.",UAFTiltedDaggerPartOne_YimieIntroduction:Continue,
#UAFTiltedDaggerPartOneOptionStartUAFrel50,DialogOptionSelected,"$option == UAFTiltedDaggerPartOne_BarEvent
$faction.rel == FRIENDLY","BeginConversation uaf_yimie true true
$player.UAFTiltedDaggerHasMetYimie = true","As you approach the pilot, before you can even open your mouth, she grabs you and pulls you into the booth, and hugs you tightly. You are surprised at first, when you hear some Military Police officers walking past, questioning other patrons about a blonde woman. As they approach, you instinctively put your arms around her.

Appearing like a couple going through a tearful reunion, you both quickly leave the bar for somewhere with more privacy. Using your peripheral vision, you steal a glance. The MPs shadow you from a distance. One of them, seeming to recognize your face says something softly into his radio. An eternity seems to pass. Slowly, you hear the harsh sounds of their boots fade away. Only then does Yimie give a sigh of relief. Neither of you look back until you feel you've left the MPs far, far behind.",UAFTiltedDaggerPartOne_YimieIntroduction:Continue,
,,,,,,
UAFTiltedDaggerPartOneYimieIntroduction,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieIntroduction,"SetTextHighlights ""Yimie Thompson""","After taking some twisting paths and going down a few levels, you let go. A deep sigh escapes her mouth. ""Thanks,"" she mutters breathlessly. After taking a few minutes to calm down, the two of you find another private space to sit down and chat. The more anonymity, the better off you'll be. 

""Yimie Thompson, commanding officer of the 5th Experimental Flight Wing on the Resolution. Or, at least I was."" She says hurryingly. Her eyes shift rapidly between you and the entrance. ""We were ambushed near Entiaris and they managed to disable the ship. No long-distance comms, so I had to fly here on my own to get help. And when I got here, well…"" Her eyes impulsively scan the bar area. Though the two of you are now on a different floor, Yimie is still on high alert.",UAFTiltedDaggerPartOne_YimieIntroductionAsk:Ask what happened,
UAFTiltedDaggerPartOneYimieIntroductionAsk,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieIntroductionAsk,,"After giving your name, you ask about her situation. ""We had our suspicions when we left port."" She says rapidly as she crosses her arms. ""Things on inventory were mismatched. Parts and tools going missing. Radars picking up false positives. Marks of sabotage. It was obvious, but Command wanted flight data for a new fighter craft, and we were already under a lot of stress from all these problems stacking up."" She shakes her head. 

""I can’t believe she would do something like this."" She looks you dead in the eye, her expression darkening. ""I think the saboteur was Captain Mizuki, my direct superior and the Resolution’s Aviation Officer. Captain Mizuki was always very secretive. She would occasionally disappear for hours on end only to show up at the end of the day for inspection. On those occasions, something always went very wrong, and it always ended up grounding our test flights the following day.""",UAFTiltedDaggerPartOne_YimieIntroductionDecide:Continue listening,
UAFTiltedDaggerPartOneYimieIntroductionDecide,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieIntroductionDecide,SetOptionColor UAFTiltedDaggerPartOne_YimieOptionC bad,"Yimie's fingers dig into her arms as she clenches. ""She left before me to get some help. But even after a few days, no ships came to our rescue. Some of us assumed that she had been killed in transit, but when we checked her quarters, it had been ransacked! Her holopad had been wiped clean, save for a few access records. But checking the ship's data logs, it had been the last thing to access our flight data for the experimental aircraft."" She scowls. ""I didn't want to believe that she had been a spy. But when I got here, the authorities were already looking for me! They said a survivor from the Resolution had come here, and they pinned me as the traitor!""

Yimie slams her fist into the table. From somewhere above you, you can hear urgent voices. You had a feeling that the MPs would come back. Yimie seemed to sense this too, and grabs your arm. ""Please! You have to help me prove that it wasn't me! I know it’s been days, but there has to be somebody still alive on the Resolution! They can vouch for me."" The pounding of boots is getting louder. You only have a split second to decide.","UAFTiltedDaggerPartOne_YimieOptionA:Promise to find someone or something to prove her innocence
UAFTiltedDaggerPartOne_YimieOptionB:Say you can look into it
UAFTiltedDaggerPartOne_YimieOptionC:Pull away, saying that this is none of your business",Three options presented. The last one will end the mission abruptly and there's no take back.
,,,,,,
UAFTiltedDaggerPartOneYimieOptionA,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionA,"AdjustRepPerson uaf_yimie COOPERATIVE 3
#$player.kantaProtection = true
$global.UAFTiltedDaggerPart1RouteAEnd = true
$global.UAFTiltedDaggerPart1ProceedToWreckage = true
UAFTiltedDaggerSpawnZepporiaDerelict
UAFTiltedDaggerSpawnFleet spawnEntiarisPirateFleet
BeginMission UAFTiltedDaggerMission","You take Yimie’s arm and pull her close. Draping your coat over her shoulders, you swiftly lead her out the back door of the bar. Moments later, the MPs arrive at the booth where the two of you had been. Outside, you tell her that the two of you can search for proof of her innocence together, but she pulls away, shaking her head. ""The flight data has been stolen, and no doubt someone is looking to sell it. As much as I want to, someone has to stay here and keep an ear to the ground for any suspicious sales of classified data, and between the two of us, only I know what to look out for."" Your Tri-pad pings as some coordinates show up on local star charts, out near Entiaris. ""You’ll find the Resolution there,"" Yimie says as the two of you part ways. Hopefully, you’ll be able to find something, a video log, a survivor, anything to help.

You say resolutely, ""I promise to help you get out of this.""",UAFTiltedDaggerPartOne_YimieOptionA_End:Leave,
UAFTiltedDaggerPartOneYimieOptionAEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionA_End,"ShowDefaultVisual
DismissDialog",,,
,,,,,,
UAFTiltedDaggerPartOneYimieOptionB,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionB,,"You react quickly, tying her hair and taking her glasses. The two of you head for a side exit out of the bar, using others to block the MPs’ view. Far enough away, you offer to look into the matter together. Bitter determination fills her voice, ""Someone has to stay behind to keep an eye out for the stolen data. Between the two of us, I’m the better fit looking for it."" She puts her hand out...","UAFTiltedDaggerPartOne_YimieOptionB_Shakehand:Shake her hand
UAFTiltedDaggerPartOne_YimieOptionB_Refuse:Politely refuse",
UAFTiltedDaggerPartOneYimieOptionBShakehand,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionB_Shakehand,AdjustRepPerson uaf_yimie COOPERATIVE 3,You take her hand firmly and she gives you a pained yet earnest smile.,UAFTiltedDaggerPartOne_YimieOptionB_Continue:Continue,
UAFTiltedDaggerPartOneYimieOptionBRefuse,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionB_Refuse,AdjustRepPerson uaf_yimie HOSTILE -3,She puts her hand back down and you see a look of disappointment in her eyes.,UAFTiltedDaggerPartOne_YimieOptionB_Continue:Continue,
UAFTiltedDaggerPartOneYimieOptionBContinue,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionB_Continue,"UAFTiltedDaggerSpawnZepporiaDerelict
UAFTiltedDaggerSpawnFleet spawnEntiarisPirateFleet
$global.UAFTiltedDaggerPart1ProceedToWreckage = true
BeginMission UAFTiltedDaggerMission
SetTextHighlights ""Resolution"", ""Entiaris"", ""rhean""
$global.UAFTiltedDaggerPart1RouteBEnd = true","You know she's taking a risk, putting her fate in your hands. But you reassure her that you’ll do what you can.

Your TriPad terminal chimes in your pocket. ""The coordinates of the Resolution are there in nearby Entiaris. With any luck, you'll find something. Goodbye for now, rhean."" She's gone before you can ask her what a rhean is.",UAFTiltedDaggerPartOne_YimieOptionB_End:Leave and head towards the coordinates,
UAFTiltedDaggerPartOneYimieOptionBEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionB_End,"ShowDefaultVisual
DismissDialog",,,
,,,,,,
UAFTiltedDaggerPartOneYimieOptionC,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionC,"SetTextHighlightColors ""250,50,50,255""
SetTextHighlights ""you will never see her again""
$global.UAFTiltedDaggerPart1RouteCEnd = true","You shake off her grip as you head for the door. ""W-wait!"" Yimie cries out. At that very moment, a group of MPs round the corner. Yimie’s face pales as she sees them, then bolts out the back door. The MPs take off after her. You get a gut-twisting feeling that you will never see her again.",UAFTiltedDaggerPartOne_YimieOptionC_End:Forget what you saw and leave,
UAFTiltedDaggerPartOneYimieOptionCEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_YimieOptionC_End,"ShowDefaultVisual
DismissDialog",,,
,,,,,,
#Entiaris Marauder Fleet,,,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetEncounter,BeginFleetEncounter,"$UAF_TiltedDaggerPartOnePirateFleet  score:1000
!$global.UAFTiltedDaggerPartOneWreckageInteraction
!$global.UAFTiltedDaggerPartOnePirateFleetMainOptionA
!$global.UAFTiltedDaggerPartOnePirateFleetMainOptionB
!$global.UAFTiltedDaggerPartOnePirateFleetMainOptionC","FleetDesc
HailPlayer",,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetEncounterAlt,BeginFleetEncounter,$UAF_TiltedDaggerPartOnePirateFleet  score:1000,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetDialogAlt,OpenCommLink,"$UAF_TiltedDaggerPartOnePirateFleet  score:10000
$global.UAFTiltedDaggerPartOnePirateFleetMainOptionA score:10000
$entity.ignorePlayerCommRequests score:10000","ShowDefaultVisual
EndConversation NO_CONTINUE
#$shownFleetDescAlready = true 1000",,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptions,OpenCommLink,"$entity.UAF_TiltedDaggerPartOnePirateFleet  score:1000
!$global.UAFTiltedDaggerPartOneWreckageInteraction
!$global.UAFTiltedDaggerPartOnePirateFleetMainOptionA
!$global.UAFTiltedDaggerPartOnePirateFleetMainOptionB
!$global.UAFTiltedDaggerPartOnePirateFleetMainOptionC",,"""Well, well, well. What do we have here? A rat snooping around!""","0:UAFTiltedDaggerPartOne_PirateEncounterOptionA:Meet the enemy head on
1:UAFTiltedDaggerPartOne_PirateEncounterOptionB:Attempt to negotiate a deal
2:UAFTiltedDaggerPartOne_PirateEncounterOptionC:Break off the search attempt and come back later",
,,,,,,
#Main choice A - Done,,,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionA,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionA,"$global.UAFTiltedDaggerPartOnePirateFleetMainOptionA = true
$entity.ignorePlayerCommRequests =  true","The pirates immediately go on the offensive. Their vanguard flies haphazardly, eager to draw first blood.",cutCommLink:Prepare for battle,
,,,,,,
#Main Option B and nesting sub options and conditions,,,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionB,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionB,"$global.UAFTiltedDaggerPartOnePirateFleetMainOptionB = true
#Option A - 500,000 credits
FireBest UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateADisableCredits
#Option B - 250,000 credits
FireBest UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateBDisableCredits
#Option C - 700,000 credits
FireBest UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateCDisableCredits
#Option E - Kanta's Protection and 2 SP points
SetStoryOption UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE 1  UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE general ""Impose your Kanta's Protection.""
#FireBest UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateEDisableSP
FireBest UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateEDisableKantaProt

#SetOptionColor UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE ""159,233,125,255""","As much as you want to blast these pirate scum you need both the wreck and whatever they’ve found intact. Their leader laughs, ""That junk is that important to you that you’re willing to negotiate!?""

The deals they offer are highway robbery, but it's the safest way to get what you need.","0:UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateA:500,000 credits for the wreck of the ship
1:UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateB:250,000 credits for the crew
2:UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateC:750,000 credits for both the ship and the crew
3:UAFTiltedDaggerPartOne_PirateEncounterOptionA:Too expensive, just kill them
4:UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE:""I have no time for negotiations. Move aside, unless you wish for Kanta to hear about this.""",
,,,,,,
"#500,000 credits check",,,,,,
UAFTiltedDaggerPartOnePirateEncounterOptionBNegotiateADisableIfNeeded,UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateADisableCredits,$player.credits <= 500000,"SetTooltip UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateA ""Insufficient amount of credits."" bad
SetEnabled UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateA false",,,
"#250,000 credits check",,,,,,
UAFTiltedDaggerPartOnePirateEncounterOptionBNegotiateBDisableIfNeeded,UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateBDisableCredits,$player.credits <= 249999,"SetTooltip UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateB ""Insufficient amount of credits."" bad
SetEnabled UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateB false",,,
"#700,000 credits check",,,,,,
UAFTiltedDaggerPartOnePirateEncounterOptionBNegotiateCDisableIfNeeded,UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateCDisableCredits,$player.credits <= 700000,"SetTooltip UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateC ""Insufficient amount of credits."" bad
SetEnabled UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateC false",,,
#Kanta Prot/SP Checker,,,,,,
#UAFTiltedDaggerPartOnePirateEncounterOptionBNegotiateEDisableSPIfNeeded,UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateEDisableSP,!UAFPlayerFleet checkStoryPoint 1,"SetTooltip UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE ""Not enough story point.""
SetEnabled UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE false",,,
UAFTiltedDaggerPartOnePirateEncounterOptionBNegotiateEDisableKantaProtIfNeeded,UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateEDisableKantaProt,!$player.kantaProtection,"SetTooltip UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE ""You need Kanta's Protection for this option.""
SetEnabled UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE false",,,
,,,,,,
#Option B sub option A,,,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionBNegoA,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateA,"$global.UAFTiltedDaggerPartOnePirateAcceptedNegotiation = true
AddCredits -500000
UAFModularSFXPlayer ui_intel_log_update
MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true
UAFTiltedDaggerSpawnFleet despawnEntiarisPirateFleetNegotiated","""Alright, I'll send word to the crew to leave the wreck. Getting paid to leave a ship alone? Easy money. Pleasure doing business.""",cutCommLinkNoText:Cut the comm link,
,,,,,,
#Sub option B Bad end,,,#This is how you properly do the disengage with scripted scenario you fuckin retard - Mayu,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionBNegoB,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateB,"AddCredits -250000
AddCommodity crew 850
UAFModularSFXPlayer ui_intel_log_update
MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true
UAFTiltedDaggerPartOneWreckageCMD ExplodeAndDespawnWreckage
AddTextSmall ""The pirates have detonated the bombs planted around the wreckage."" bad","""You've got yourself a deal."" You hear a chime. A series of photos enters your TriPad displaying portraits of those held by the pirates. ""Feel free to pick who will be delivered to your shuttle.""

Safely bringing what's left of the crew on board, you question them about their experiences, and more importantly, Commander Thompson. While many of them have crossed paths with Yimie, none of them can really vouch for her, and their collective testimonies do not help her case. By the time you finish your questioning, the pirates have already made off with the wreck, meaning searching it is no longer possible.",UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateBCont:Continue,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionBNegoBCont,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateBCont,"SetTextHighlightColors bad
SetTextHighlights ""has been arrested for treason""
UAFTiltedDaggerSpawnFleet despawnEntiarisPirateFleetNegotiated
$global.UAFTiltedDaggerMission_Failed = true
Call $global.UAFTiltedDaggerMission updateStage","A ping on your TriPad shows a system news headline reporting a pilot has been arrested for treason. With no evidence to the contrary or effective eyewitnesses, there is nothing you can do for Yimie.",cutCommLinkNoText:Cut the comm link,
#Sub option C,,,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionBNegoC,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateC,"$global.UAFTiltedDaggerPartOnePirateAcceptedNegotiation = true
AddCredits -750000
AddCommodity crew 850
UAFModularSFXPlayer ui_intel_log_update
MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true","The pirate lets out a whistle. ""Gotta be our biggest payday! Pleasure running into you, captain. We'll make ourselves scarce and leave you to your purchase. Do hope we run into each other again soon.""",UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateCCont:Continue,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionBNegoCCont,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateCCont,"AdjustRepPerson uaf_yimie COOPERATIVE 5
AdjustRepPerson uaf_mizuki COOPERATIVE 5
UAFTiltedDaggerSpawnFleet despawnEntiarisPirateFleetNegotiated",The pirate fleet stands down.,cutCommLinkNoText:Cut the comm link,
#Sub option E - Need Kanta's protection - DONE,,,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionBNegoE,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateE,"$global.UAFTiltedDaggerPartOnePirateAcceptedNegotiation = true
#UAFVN SpendStoryPoints 1
#PlayCustomSFX SFXStoryPointsSpent
SetTextHighlights ""Kanta's Protection""
MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true","The leader squints, then their eyes widen as they realize who you are. ""M-My apologies. We'll be on our way."" You know for a fact that Kanta's Protection doesn't actually apply in this case, but thankfully most pirates aren’t that bright.",UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateECont:Continue,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionBNegoECont,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionBNegotiateECont,"AdjustRepPerson uaf_yimie COOPERATIVE 5
AdjustRepPerson uaf_mizuki COOPERATIVE 5
UAFTiltedDaggerSpawnFleet despawnEntiarisPirateFleetNegotiated",The pirate fleet stands down.,cutCommLinkNoText:Cut the comm link,
#Main Option C Bad end - DONE,,,,,,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionC,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionC,"SetTextHighlightColors bad
SetTextHighlights ""A ping on your TriPad shows a system news headline reporting a pilot has been arrested for treason. With no evidence to the contrary or effective eyewitnesses, there is nothing you can do for Yimie.""
$global.UAFTiltedDaggerPartOnePirateFleetMainOptionC = true
#MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true","You'd rather not deal with the pirates at this time. You pull away, as do the pirates. However, as they make their getaway, they obliterate what’s left of the Resolution, then hightail it back to Entiaris. You curse your luck. Even if you catch them on Entiaris, whatever they had will probably be sold off within moments of landing, and their scuttling of the UAFS Resolution means there is nothing left to salvage.

A ping on your TriPad shows a system news headline reporting a pilot has been arrested for treason. With no evidence to the contrary or effective eyewitnesses, there is nothing you can do for Yimie.",UAFTiltedDaggerPartOne_PirateEncounterOptionCCont:Continue,
UAFTiltedDaggerPartOneEntiarisMarauderFleetOptionCCont,DialogOptionSelected,$option == UAFTiltedDaggerPartOne_PirateEncounterOptionCCont,"SetTextHighlightColors ""155,0,0,255""
SetTextHighlights ""You failed the mission.""
UAFTiltedDaggerSpawnFleet despawnEntiarisPirateFleetBackOffStillHostile
UAFTiltedDaggerPartOneWreckageCMD ExplodeAndDespawnWreckage
$global.UAFTiltedDaggerMission_Failed = true
Call $global.UAFTiltedDaggerMission updateStage",You failed the mission.,"cutCommLinkNoText:Cut the comm link
#UAFTiltedDaggerPartOne_PirateEncounterOptionCEnd:Leave",
,,,,,,
#UAFS Resolution Scenario - Mizuki-chan entrance,,,,,,
