id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
uaf_wing_m_rafflesya,uaf_wing_m_rafflesya_bomber,"bomber, rd_no_extra_craft, mid, leader_no_swarm, wingmen_no_swarm, no_sell, no_drop, independent_of_carrier, restricted",4,5,30,35,BOX,7500,2500,1000,1,BOMBER,Strategic Bomber,9999,30000,,,,,,,,,,,,,100
uaf_wing_m_rafflesya_ii,uaf_wing_m_rafflesya_ii_bomber,"bomber, rd_no_extra_craft, mid, leader_no_swarm, wingmen_no_swarm, no_sell, no_drop, independent_of_carrier, restricted",4,5,30,35,BOX,8000,2000,500,1,BOMBER,Strategic Bomber,9999,30000,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_ace_wing_taufan,uaf_ace_wing_taufan_nxp,"uaf_fighter_bp, uaf_elite_bp, fighter, fighter6, no_drop, no_dealer, no_sell, high, leader_no_swarm, wingmen_no_swarm, auto_fighter",4,0.65,18,23,CLAW,4000,400,100,3,FIGHTER,Tactical Strike Fighter,22,45000,,,,,,,,,,,,,100
uaf_ace_wing_hyperaria,uaf_ace_wing_hyperaria_custom,"uaf_fighter_bp, uaf_elite_bp, interceptor, interceptor6, no_drop, no_dealer, no_sell, high, leader_no_swarm, wingmen_no_swarm, auto_fighter, stay_in_front_of_ship",4,0.65,18,23,V,5000,400,100,4,INTERCEPTOR,Superiority Fighter,24,45000,,,,,,,,,,,,,100
uaf_ace_wing_nekonyan_mix,uaf_ace_wing_nekonyan_mix_fe,"uaf_fighter_bp, uaf_elite_bp, fighter, fighter6, no_drop, no_dealer, no_sell, high, leader_no_swarm, wingmen_no_swarm, auto_fighter",4,0.65,18,23,CLAW,4000,400,100,3,FIGHTER,Tactical Attacker,22,45000,,,,,,,,,,,,,100
uaf_ace_wing_forlorn_hb,uaf_ace_wing_forlorn_hb_ace,"uaf_fighter_bp, uaf_elite_bp, fighter, fighter6, no_drop, no_dealer, no_sell, high, leader_no_swarm, wingmen_no_swarm, auto_fighter, stay_in_front_of_ship",4,0.65,18,23,V,4000,400,100,4,FIGHTER,Heavy Ace Fighter,35,24000,,,,,,,,,,,,,100
uaf_ace_wing_freesia_x,uaf_ace_wing_freesia_x_attacker,"uaf_fighter_bp, uaf_elite_bp, fighter, fighter6, no_drop, no_dealer, no_sell, high, leader_no_swarm, wingmen_no_swarm, auto_fighter, stay_in_front_of_ship",4,0.65,18,23,CLAW,5000,400,100,3,FIGHTER,Tactical Attacker,24,45000,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
